4,0,0,0,0,0,0,1
4,1,0,0,0,0,0,1
4,2,0,0,0,0,0,1
4,3,0,0,0,0,0,1
4,4,0,0,0,0,0,1
4,5,0,0,0,0,0,1
4,6,0,0,0,0,0,1
4,7,0,0,0,0,0,1
4,8,0,0,0,0,0,1
4,9,0,0,0,0,0,1
4,10,0,0,0,0,0,1
4,11,0,0,0,0,0,1
4,12,0,0,0,0,0,1
4,13,0,0,0,0,0,1
4,14,0,0,0,0,0,1
4,15,0,0,0,0,0,1
4,16,0,0,0,0,0,1
4,17,0,0,0,0,0,1
4,18,0,0,0,0,0,1
4,19,0,0,0,0,0,1
4,20,0,0,0,0,0,1
4,21,0,0,0,0,0,1
4,22,0,0,0,0,0,1
4,23,0,0,0,0,0,1
4,24,0,0,0,0,0,1
4,25,0,0,0,0,0,1
4,26,0,0,0,0,0,1
4,27,0,0,0,0,0,1
4,28,0,0,0,0,0,1
4,29,0,0,0,0,0,1
4,30,0,0,0,0,0,1
4,31,0,0,0,0,0,1
4,32,0,0,0,0,0,1
4,33,0,0,0,0,0,1
4,34,0,0,0,0,0,1
4,35,0,0,0,0,0,1
4,36,0,0,0,0,0,1
4,37,0,0,0,0,0,1
4,38,0,0,0,0,0,1
4,39,0,0,0,0,0,1
4,40,0,0,0,0,0,1
4,41,0,0,0,0,0,1
4,42,0,0,0,0,0,1
4,43,0,0,0,0,0,1
4,44,0,0,0,0,0,1
4,45,0,0,0,0,0,1
4,46,0,0,0,0,0,1
4,47,0,0,0,0,0,1
4,48,0,0,0,0,0,1
4,49,0,0,0,0,0,1
4,50,0,0,0,0,1,1
4,51,0,0,0,0,0,1
4,52,0,0,0,0,0,1
4,53,0,0,0,0,0,1
4,54,0,0,0,0,0,1
4,55,0,0,0,0,0,1
4,56,0,0,0,0,0,1
4,57,0,0,0,0,0,1
4,58,0,0,0,0,0,1
4,59,0,0,0,0,0,1
4,60,0,0,0,0,0,1
4,61,0,0,0,0,0,1
4,62,0,0,0,0,0,1
4,63,0,0,0,0,0,1
4,64,0,0,0,0,0,1
4,65,0,0,0,0,0,1
4,66,0,0,0,0,0,1
4,67,0,0,0,0,0,1
4,68,0,0,0,0,0,1
4,69,0,0,0,0,0,1
4,70,0,0,0,0,0,1
4,71,0,0,0,0,0,1
4,72,0,0,0,0,0,1
4,73,0,0,0,0,0,1
4,74,0,0,0,0,0,1
4,75,0,0,0,0,0,1
4,76,0,0,0,0,0,1
4,77,0,0,0,0,0,1
4,78,0,0,0,0,0,1
4,79,0,0,0,0,0,1
4,80,0,0,0,0,0,1
4,81,0,0,0,0,0,1
4,82,0,0,0,0,0,1
4,83,0,0,0,0,0,1
4,84,0,0,0,0,0,1
4,85,0,0,0,0,0,1
4,86,0,0,0,0,0,1
4,87,0,0,0,0,0,1
4,88,0,0,0,0,0,1
4,89,0,0,0,0,0,1
4,90,0,0,0,0,0,1
4,91,0,0,0,0,0,1
4,92,0,0,0,0,0,1
4,93,0,0,0,0,0,1
4,94,0,0,0,0,0,1
4,95,0,0,0,0,0,1
4,96,0,0,0,0,0,1
4,97,0,0,0,0,0,1
4,98,0,0,0,0,0,1
4,99,0,0,0,0,0,1
5,0,0,0,0,0,0,1
5,1,0,0,0,0,0,1
5,2,0,0,0,0,0,1
5,3,0,0,0,0,0,1
5,4,0,0,0,0,0,1
5,5,0,0,0,0,0,1
5,6,0,0,0,0,0,1
5,7,0,0,0,0,0,1
5,8,0,0,0,0,0,1
5,9,0,0,0,0,0,1
5,10,0,0,0,0,0,1
5,11,0,0,0,0,0,1
5,12,0,0,0,0,0,1
5,13,0,0,0,0,0,1
5,14,0,0,0,0,0,1
5,15,0,0,0,0,0,1
5,16,0,0,0,0,0,1
5,17,0,0,0,0,0,1
5,18,0,0,0,0,0,1
5,19,0,0,0,0,0,1
5,20,0,0,0,0,0,1
5,21,0,0,0,0,0,1
5,22,0,0,0,0,0,1
5,23,0,0,0,0,0,1
5,24,0,0,0,0,0,1
5,25,0,0,0,0,0,1
5,26,0,0,0,0,0,1
5,27,0,0,0,0,0,1
5,28,0,0,0,0,0,1
5,29,0,0,0,0,0,1
5,30,0,0,0,0,0,1
5,31,0,0,0,0,0,1
5,32,0,0,0,0,0,1
5,33,0,0,0,0,0,1
5,34,0,0,0,0,0,1
5,35,0,0,0,0,0,1
5,36,0,0,0,0,0,1
5,37,0,0,0,0,0,1
5,38,0,0,0,0,0,1
5,39,0,0,0,0,0,1
5,40,0,0,0,0,0,1
5,41,0,0,0,0,0,1
5,42,0,0,0,0,0,1
5,43,0,0,0,0,0,1
5,44,0,0,0,0,0,1
5,45,0,0,0,0,0,1
5,46,0,0,0,0,0,1
5,47,0,0,0,0,0,1
5,48,0,0,0,0,0,1
5,49,0,0,0,0,0,1
5,50,0,0,0,0,1,1
5,51,0,0,0,0,0,1
5,52,0,0,0,0,0,1
5,53,0,0,0,0,0,1
5,54,0,0,0,0,0,1
5,55,0,0,0,0,0,1
5,56,0,0,0,0,0,1
5,57,0,0,0,0,0,1
5,58,0,0,0,0,0,1
5,59,0,0,0,0,0,1
5,60,0,0,0,0,0,1
5,61,0,0,0,0,0,1
5,62,0,0,0,0,0,1
5,63,0,0,0,0,0,1
5,64,0,0,0,0,0,1
5,65,0,0,0,0,0,1
5,66,0,0,0,0,0,1
5,67,0,0,0,0,0,1
5,68,0,0,0,0,0,1
5,69,0,0,0,0,0,1
5,70,0,0,0,0,0,1
5,71,0,0,0,0,0,1
5,72,0,0,0,0,0,1
5,73,0,0,0,0,0,1
5,74,0,0,0,0,0,1
5,75,0,0,0,0,0,1
5,76,0,0,0,0,0,1
5,77,0,0,0,0,0,1
5,78,0,0,0,0,0,1
5,79,0,0,0,0,0,1
5,80,0,0,0,0,0,1
5,81,0,0,0,0,0,1
5,82,0,0,0,0,0,1
5,83,0,0,0,0,0,1
5,84,0,0,0,0,0,1
5,85,0,0,0,0,0,1
5,86,0,0,0,0,0,1
5,87,0,0,0,0,0,1
5,88,0,0,0,0,0,1
5,89,0,0,0,0,0,1
5,90,0,0,0,0,0,1
5,91,0,0,0,0,0,1
5,92,0,0,0,0,0,1
5,93,0,0,0,0,0,1
5,94,0,0,0,0,0,1
5,95,0,0,0,0,0,1
5,96,0,0,0,0,0,1
5,97,0,0,0,0,0,1
5,98,0,0,0,0,0,1
5,99,0,0,0,0,0,1
